incident_id,company_revenue_usd,country_hq,industry_primary,industry_secondary,employee_count,is_public_company,attack_vector_primary,attack_vector_secondary,attribution_confidence,data_compromised_records,data_type,systems_affected,downtime_hours,data_source_type,confidence_tier,incident_year,incident_month,incident_dow,days_to_discovery,days_to_disclosure,direct_loss_usd,direct_loss_method,ransom_demanded_usd,ransom_paid_usd,ransom_source,recovery_cost_usd,legal_fees_usd,regulatory_fine_usd,insurance_payout_usd,price_7d_before,price_disclosure_day,volume_avg_30d_baseline,sector_index,sector_return_same_period,earnings_announcement_within_7d,market_cap_at_disclosure,pre_incident_volatility_30d,severity_label
2021-0508-001,1343769307.79,US,52,54,3940,True,ransomware,,suspected,26888.0,mixed,"payment_systems,HR_systems",16.52,sec_filing,1,2021,5,5,4,39,12600000.0,disclosed,13802654.69,,,9455354.49,2496545.93,90695.25,6756288.97,,,,,,,,,high
2025-1211-001,63670593.18,GB,51,,250,False,phishing,,probable,41426.0,mixed,"file_servers,backup_systems,HR_systems,ERP",,verified_media,3,2025,12,3,64,3,7640471.18,disclosed,,,,5857150.47,1809188.41,,2691027.33,,,,,,,,,medium
2023-0115-001,24806189094.88,US,51,,71369,True,trojan,ddos,,,,HR_systems,,verified_media,4,2023,1,6,184,47,34881599.59,calculated,,,,26404111.95,10330703.43,,31759649.99,262.07,251.95,19782288.0,S&P 500 Information Technology,18.777,True,118198823773.06,27.705,critical
2021-0315-001,139825903.53,US,44-45,,912,True,phishing,,,1107796.0,mixed,"HR_systems,CRM,VPN",,company_pr,2,2021,3,0,19,91,4682151.47,disclosed,,,,3642946.48,1029035.85,,1772460.33,9.37,9.09,458826.0,S&P 500 Consumer Discretionary,2.086,False,648911379.54,17.116,medium
2021-1204-001,691697737.03,US,51,,1662,True,data_breach,,,621233.0,mixed,"SCADA,VPN",,company_pr,2,2021,12,5,7,40,2684607.92,estimated,,,,2574871.33,206822.23,,,14.6,13.36,230932.0,S&P 500 Information Technology,-14.242,False,4735163815.54,38.209,low
2025-0617-001,23049204977.6,US,31-33,,69223,False,data_breach,,confirmed,207262.0,PII,"cloud_infrastructure,file_servers,HR_systems,CRM",,cybersecurity_firm,3,2025,6,1,91,40,3735953.8,disclosed,,,,2340266.6,1286207.88,,,,,,,,,,,medium
2025-0821-001,271568021.35,US,31-33,,2121,True,apt,supply_chain,probable,58001.0,health,"file_servers,VPN",129.37,sec_filing,1,2025,8,3,2,39,1700929.83,disclosed,,,,607575.94,313791.9,,,,,,,,,,,low
2024-0603-001,4681402229.24,US,52,,16493,False,ddos,,,,,file_servers,15.91,cybersecurity_firm,3,2024,6,0,14,10,1200000.0,disclosed,,,,726046.15,223259.61,,781019.03,,,,,,,,,low
2021-0213-001,733412842.38,DE,44-45,,8169,True,data_breach,,,321215.0,credentials,payment_systems,,cybersecurity_firm,3,2021,2,5,1,50,4864706.42,estimated,,,,1593635.93,1332119.72,,2496437.92,5.34,5.43,2521343.0,S&P 500 Consumer Discretionary,-6.342,False,2984412393.86,2.798,medium
2025-0529-001,39914029678.95,US,44-45,,776266,True,ransomware,,suspected,30907.0,financial,"email,cloud_infrastructure,ERP,file_servers",91.85,sec_filing,1,2025,5,3,7,20,34926502.77,estimated,816664.33,252583.06,insurance claim record,30382641.61,7305976.36,2181266.22,,465.19,441.08,1235984.0,S&P 500 Consumer Discretionary,-17.191,False,219429554460.57,25.212,critical
